archetype #,Feature Name,P value (Hypergeom.),Significant after Benjamini-Hochberg correction?,Is first bin maximal?
1,subtype: Y,0.00012085,1,1
1,NEW: Y,0.00021444,1,1
1,source: CCLE,0.044954,1,1
1,: c.NCIH1339,0.05,1,1
1,: c.NCIH1963,0.05,1,1
1,: c.NCIH2286,0.05,1,1
1,: c.NCIH841,0.05,1,1
1,: c.SW1271,0.05,1,1
1,: m.NCIH1607,0.05,1,1
1,subtype: P,0.41363,1,0
1,NEW: P,0.41363,1,0
1,NEW: A,0.95723,1,0
1,subtype: A,0.97739,1,0
1,source: Minna,0.99565,1,0
1,: c.COLO668,1,1,0
1,: c.CORL24,1,1,0
1,: c.CORL279,1,1,0
1,: c.CORL311,1,1,0
1,: c.CORL47,1,1,0
1,: c.CORL88,1,1,0
1,: c.CORL95,1,1,0
1,: c.DMS114,1,1,0
1,: c.DMS153,1,1,0
1,: c.DMS273,1,1,0
1,: c.DMS454,1,1,0
1,: c.DMS53,1,1,0
1,: c.DMS79,1,1,0
1,: c.HCC33,1,1,0
1,: c.NCIH1048,1,1,0
1,: c.NCIH1092,1,1,0
1,: c.NCIH1105,1,1,0
1,: c.NCIH1184,1,1,0
1,: c.NCIH1341,1,1,0
1,: c.NCIH1436,1,1,0
1,: c.NCIH146,1,1,0
1,: c.NCIH1618,1,1,0
1,: c.NCIH1694,1,1,0
1,: c.NCIH1836,1,1,0
1,: c.NCIH1876,1,1,0
1,: c.NCIH1930,1,1,0
1,: c.NCIH196,1,1,0
1,: c.NCIH2029,1,1,0
1,: c.NCIH2066,1,1,0
1,: c.NCIH2081,1,1,0
1,: c.NCIH209,1,1,0
1,: c.NCIH211,1,1,0
1,: c.NCIH2171,1,1,0
1,: c.NCIH2196,1,1,0
1,: c.NCIH2227,1,1,0
1,: c.NCIH446,1,1,0
1,: c.NCIH510,1,1,0
1,: c.NCIH524,1,1,0
1,: c.NCIH526,1,1,0
1,: c.NCIH69,1,1,0
1,: c.NCIH82,1,1,0
1,: c.NCIH889,1,1,0
1,: c.SBC5,1,1,0
1,: c.SCLC21H,1,1,0
1,: c.SHP77,1,1,0
1,: m.DMS153,1,1,0
1,: m.HCC2433,1,1,0
1,: m.HCC33,1,1,0
1,: m.HCC4000,1,1,0
1,: m.HCC4001,1,1,0
1,: m.HCC4002,1,1,0
1,: m.HCC4003,1,1,0
1,: m.HCC4004,1,1,0
1,: m.HCC4005,1,1,0
1,: m.HCC970,1,1,0
1,: m.NCIH1048,1,1,0
1,: m.NCIH1092,1,1,0
1,: m.NCIH1184,1,1,0
1,: m.NCIH1238,1,1,0
1,: m.NCIH128,1,1,0
1,: m.NCIH1339,1,1,0
1,: m.NCIH1417,1,1,0
1,: m.NCIH1436,1,1,0
1,: m.NCIH1450,1,1,0
1,: m.NCIH146,1,1,0
1,: m.NCIH1514,1,1,0
1,: m.NCIH1522,1,1,0
1,: m.NCIH1628,1,1,0
1,: m.NCIH1672,1,1,0
1,: m.NCIH1688,1,1,0
1,: m.NCIH1694,1,1,0
1,: m.NCIH1836,1,1,0
1,: m.NCIH187,1,1,0
1,: m.NCIH1870,1,1,0
1,: m.NCIH1876,1,1,0
1,: m.NCIH1882,1,1,0
1,: m.NCIH1926,1,1,0
1,: m.NCIH1930,1,1,0
1,: m.NCIH1963,1,1,0
1,: m.NCIH1994,1,1,0
1,: m.NCIH2029,1,1,0
1,: m.NCIH2081,1,1,0
1,: m.NCIH209,1,1,0
1,: m.NCIH2107,1,1,0
1,: m.NCIH2108,1,1,0
1,: m.NCIH211,1,1,0
1,: m.NCIH2141,1,1,0
1,: m.NCIH2171,1,1,0
1,: m.NCIH2195,1,1,0
1,: m.NCIH2196,1,1,0
1,: m.NCIH2198,1,1,0
1,: m.NCIH2227,1,1,0
1,: m.NCIH250,1,1,0
1,: m.NCIH2679,1,1,0
1,: m.NCIH3282,1,1,0
1,: m.NCIH345,1,1,0
1,: m.NCIH378,1,1,0
1,: m.NCIH446,1,1,0
1,: m.NCIH510,1,1,0
1,: m.NCIH524,1,1,0
1,: m.NCIH526,1,1,0
1,: m.NCIH60,1,1,0
1,: m.NCIH69,1,1,0
1,: m.NCIH711,1,1,0
1,: m.NCIH735,1,1,0
1,: m.NCIH738,1,1,0
1,: m.NCIH740,1,1,0
1,: m.NCIH748,1,1,0
1,: m.NCIH774,1,1,0
1,: m.NCIH82,1,1,0
1,: m.NCIH841,1,1,0
1,: m.NCIH865,1,1,0
1,: m.NCIH889,1,1,0
