archetype #,Feature Name,P value (Hypergeom.),Significant after Benjamini-Hochberg correction?,Is first bin maximal?
1,: m.SHP77,1,1,0
1,subtype: A2,1,1,0
1,subtype: N,1,1,0
1,subtype: uncl,1,1,0
1,NEW: A2,1,1,0
1,NEW: N,1,1,0
2,: c.CORL311,0.05,1,1
2,: c.NCIH211,0.05,1,1
2,: m.HCC4005,0.05,1,1
2,: m.NCIH1339,0.05,1,1
2,: m.NCIH1926,0.05,1,1
2,: m.NCIH69,0.05,1,1
2,subtype: P,0.078565,1,1
2,NEW: P,0.078565,1,1
2,subtype: Y,0.34504,1,1
2,NEW: A,0.45567,1,0
2,source: Minna,0.50906,1,0
2,subtype: A,0.57777,1,0
2,NEW: N,0.76207,1,0
2,source: CCLE,0.79843,1,0
2,: c.COLO668,1,1,0
2,: c.CORL24,1,1,0
2,: c.CORL279,1,1,0
2,: c.CORL47,1,1,0
2,: c.CORL88,1,1,0
2,: c.CORL95,1,1,0
2,: c.DMS114,1,1,0
2,: c.DMS153,1,1,0
2,: c.DMS273,1,1,0
2,: c.DMS454,1,1,0
2,: c.DMS53,1,1,0
2,: c.DMS79,1,1,0
2,: c.HCC33,1,1,0
2,: c.NCIH1048,1,1,0
2,: c.NCIH1092,1,1,0
2,: c.NCIH1105,1,1,0
2,: c.NCIH1184,1,1,0
2,: c.NCIH1339,1,1,0
2,: c.NCIH1341,1,1,0
2,: c.NCIH1436,1,1,0
2,: c.NCIH146,1,1,0
2,: c.NCIH1618,1,1,0
2,: c.NCIH1694,1,1,0
2,: c.NCIH1836,1,1,0
2,: c.NCIH1876,1,1,0
2,: c.NCIH1930,1,1,0
2,: c.NCIH196,1,1,0
2,: c.NCIH1963,1,1,0
2,: c.NCIH2029,1,1,0
2,: c.NCIH2066,1,1,0
2,: c.NCIH2081,1,1,0
2,: c.NCIH209,1,1,0
2,: c.NCIH2171,1,1,0
2,: c.NCIH2196,1,1,0
2,: c.NCIH2227,1,1,0
2,: c.NCIH2286,1,1,0
2,: c.NCIH446,1,1,0
2,: c.NCIH510,1,1,0
2,: c.NCIH524,1,1,0
2,: c.NCIH526,1,1,0
2,: c.NCIH69,1,1,0
2,: c.NCIH82,1,1,0
2,: c.NCIH841,1,1,0
2,: c.NCIH889,1,1,0
2,: c.SBC5,1,1,0
2,: c.SCLC21H,1,1,0
2,: c.SHP77,1,1,0
2,: c.SW1271,1,1,0
2,: m.DMS153,1,1,0
2,: m.HCC2433,1,1,0
2,: m.HCC33,1,1,0
2,: m.HCC4000,1,1,0
2,: m.HCC4001,1,1,0
2,: m.HCC4002,1,1,0
2,: m.HCC4003,1,1,0
2,: m.HCC4004,1,1,0
2,: m.HCC970,1,1,0
2,: m.NCIH1048,1,1,0
2,: m.NCIH1092,1,1,0
2,: m.NCIH1184,1,1,0
2,: m.NCIH1238,1,1,0
2,: m.NCIH128,1,1,0
2,: m.NCIH1417,1,1,0
2,: m.NCIH1436,1,1,0
2,: m.NCIH1450,1,1,0
2,: m.NCIH146,1,1,0
2,: m.NCIH1514,1,1,0
2,: m.NCIH1522,1,1,0
2,: m.NCIH1607,1,1,0
2,: m.NCIH1628,1,1,0
2,: m.NCIH1672,1,1,0
2,: m.NCIH1688,1,1,0
2,: m.NCIH1694,1,1,0
2,: m.NCIH1836,1,1,0
2,: m.NCIH187,1,1,0
2,: m.NCIH1870,1,1,0
2,: m.NCIH1876,1,1,0
2,: m.NCIH1882,1,1,0
2,: m.NCIH1930,1,1,0
2,: m.NCIH1963,1,1,0
2,: m.NCIH1994,1,1,0
2,: m.NCIH2029,1,1,0
2,: m.NCIH2081,1,1,0
2,: m.NCIH209,1,1,0
2,: m.NCIH2107,1,1,0
2,: m.NCIH2108,1,1,0
2,: m.NCIH211,1,1,0
2,: m.NCIH2141,1,1,0
2,: m.NCIH2171,1,1,0
2,: m.NCIH2195,1,1,0
2,: m.NCIH2196,1,1,0
2,: m.NCIH2198,1,1,0
2,: m.NCIH2227,1,1,0
2,: m.NCIH250,1,1,0
2,: m.NCIH2679,1,1,0
2,: m.NCIH3282,1,1,0
2,: m.NCIH345,1,1,0
2,: m.NCIH378,1,1,0
2,: m.NCIH446,1,1,0
2,: m.NCIH510,1,1,0
2,: m.NCIH524,1,1,0
2,: m.NCIH526,1,1,0
2,: m.NCIH60,1,1,0
2,: m.NCIH711,1,1,0
2,: m.NCIH735,1,1,0
2,: m.NCIH738,1,1,0
2,: m.NCIH740,1,1,0
2,: m.NCIH748,1,1,0
2,: m.NCIH774,1,1,0
2,: m.NCIH82,1,1,0
2,: m.NCIH841,1,1,0
2,: m.NCIH865,1,1,0
2,: m.NCIH889,1,1,0
2,: m.SHP77,1,1,0
2,subtype: A2,1,1,0
2,subtype: N,1,1,0
2,subtype: uncl,1,1,0
2,NEW: A2,1,1,0
2,NEW: Y,1,1,0
3,: c.NCIH2171,0.05,1,1
3,: c.NCIH524,0.05,1,1
3,: m.NCIH2107,0.05,1,1
3,: m.NCIH446,0.05,1,1
3,: m.NCIH738,0.05,1,1
3,: m.NCIH774,0.05,1,1
3,NEW: N,0.10405,1,0
3,subtype: uncl,0.18768,1,1
3,subtype: N,0.22092,1,0
3,source: Minna,0.50906,1,0
3,subtype: A2,0.76207,1,0
3,NEW: A,0.77337,1,0
3,source: CCLE,0.79843,1,0
3,NEW: A2,0.80479,1,0
3,subtype: A,0.85302,1,0
3,: c.COLO668,1,1,0
3,: c.CORL24,1,1,0
3,: c.CORL279,1,1,0
3,: c.CORL311,1,1,0
3,: c.CORL47,1,1,0
3,: c.CORL88,1,1,0
3,: c.CORL95,1,1,0
3,: c.DMS114,1,1,0
3,: c.DMS153,1,1,0
3,: c.DMS273,1,1,0
3,: c.DMS454,1,1,0
3,: c.DMS53,1,1,0
3,: c.DMS79,1,1,0
3,: c.HCC33,1,1,0
3,: c.NCIH1048,1,1,0
3,: c.NCIH1092,1,1,0
3,: c.NCIH1105,1,1,0
3,: c.NCIH1184,1,1,0
3,: c.NCIH1339,1,1,0
3,: c.NCIH1341,1,1,0
3,: c.NCIH1436,1,1,0
3,: c.NCIH146,1,1,0
3,: c.NCIH1618,1,1,0
3,: c.NCIH1694,1,1,0
3,: c.NCIH1836,1,1,0
3,: c.NCIH1876,1,1,0
3,: c.NCIH1930,1,1,0
3,: c.NCIH196,1,1,0
3,: c.NCIH1963,1,1,0
3,: c.NCIH2029,1,1,0
3,: c.NCIH2066,1,1,0
3,: c.NCIH2081,1,1,0
3,: c.NCIH209,1,1,0
3,: c.NCIH211,1,1,0
3,: c.NCIH2196,1,1,0
3,: c.NCIH2227,1,1,0
3,: c.NCIH2286,1,1,0
3,: c.NCIH446,1,1,0
3,: c.NCIH510,1,1,0
3,: c.NCIH526,1,1,0
3,: c.NCIH69,1,1,0
3,: c.NCIH82,1,1,0
3,: c.NCIH841,1,1,0
3,: c.NCIH889,1,1,0
3,: c.SBC5,1,1,0
3,: c.SCLC21H,1,1,0
3,: c.SHP77,1,1,0
3,: c.SW1271,1,1,0
3,: m.DMS153,1,1,0
3,: m.HCC2433,1,1,0
3,: m.HCC33,1,1,0
3,: m.HCC4000,1,1,0
3,: m.HCC4001,1,1,0
3,: m.HCC4002,1,1,0
3,: m.HCC4003,1,1,0
3,: m.HCC4004,1,1,0
3,: m.HCC4005,1,1,0
3,: m.HCC970,1,1,0
3,: m.NCIH1048,1,1,0
3,: m.NCIH1092,1,1,0
3,: m.NCIH1184,1,1,0
3,: m.NCIH1238,1,1,0
3,: m.NCIH128,1,1,0
3,: m.NCIH1339,1,1,0
3,: m.NCIH1417,1,1,0
3,: m.NCIH1436,1,1,0
3,: m.NCIH1450,1,1,0
3,: m.NCIH146,1,1,0
3,: m.NCIH1514,1,1,0
3,: m.NCIH1522,1,1,0
3,: m.NCIH1607,1,1,0
3,: m.NCIH1628,1,1,0
3,: m.NCIH1672,1,1,0
3,: m.NCIH1688,1,1,0
3,: m.NCIH1694,1,1,0
3,: m.NCIH1836,1,1,0
3,: m.NCIH187,1,1,0
3,: m.NCIH1870,1,1,0
3,: m.NCIH1876,1,1,0
3,: m.NCIH1882,1,1,0
3,: m.NCIH1926,1,1,0
3,: m.NCIH1930,1,1,0
3,: m.NCIH1963,1,1,0
3,: m.NCIH1994,1,1,0
3,: m.NCIH2029,1,1,0
3,: m.NCIH2081,1,1,0
3,: m.NCIH209,1,1,0
3,: m.NCIH2108,1,1,0
3,: m.NCIH211,1,1,0
3,: m.NCIH2141,1,1,0
3,: m.NCIH2171,1,1,0
3,: m.NCIH2195,1,1,0
3,: m.NCIH2196,1,1,0
3,: m.NCIH2198,1,1,0
3,: m.NCIH2227,1,1,0
3,: m.NCIH250,1,1,0
3,: m.NCIH2679,1,1,0
3,: m.NCIH3282,1,1,0
3,: m.NCIH345,1,1,0
3,: m.NCIH378,1,1,0
3,: m.NCIH510,1,1,0
3,: m.NCIH524,1,1,0
3,: m.NCIH526,1,1,0
3,: m.NCIH60,1,1,0
3,: m.NCIH69,1,1,0
3,: m.NCIH711,1,1,0
3,: m.NCIH735,1,1,0
3,: m.NCIH740,1,1,0
3,: m.NCIH748,1,1,0
3,: m.NCIH82,1,1,0
3,: m.NCIH841,1,1,0
3,: m.NCIH865,1,1,0
3,: m.NCIH889,1,1,0
3,: m.SHP77,1,1,0
3,subtype: P,1,1,0
3,subtype: Y,1,1,0
3,NEW: P,1,1,0
3,NEW: Y,1,1,0
4,: c.CORL95,0.05,1,1
4,: c.NCIH2029,0.05,1,1
4,: m.DMS153,0.05,1,1
4,: m.NCIH1436,0.05,1,1
4,: m.NCIH1522,0.05,1,1
4,: m.NCIH187,0.05,1,1
4,subtype: A2,0.10405,1,0
4,NEW: A2,0.13867,1,0
4,NEW: A,0.45567,1,0
4,source: Minna,0.50906,1,0
4,subtype: A,0.57777,1,0
4,source: CCLE,0.79843,1,0
4,: c.COLO668,1,1,0
4,: c.CORL24,1,1,0
4,: c.CORL279,1,1,0
4,: c.CORL311,1,1,0
4,: c.CORL47,1,1,0
4,: c.CORL88,1,1,0
4,: c.DMS114,1,1,0
4,: c.DMS153,1,1,0
4,: c.DMS273,1,1,0
4,: c.DMS454,1,1,0
4,: c.DMS53,1,1,0
4,: c.DMS79,1,1,0
4,: c.HCC33,1,1,0
4,: c.NCIH1048,1,1,0
4,: c.NCIH1092,1,1,0
4,: c.NCIH1105,1,1,0
4,: c.NCIH1184,1,1,0
4,: c.NCIH1339,1,1,0
4,: c.NCIH1341,1,1,0
4,: c.NCIH1436,1,1,0
4,: c.NCIH146,1,1,0
4,: c.NCIH1618,1,1,0
4,: c.NCIH1694,1,1,0
4,: c.NCIH1836,1,1,0
4,: c.NCIH1876,1,1,0
4,: c.NCIH1930,1,1,0
4,: c.NCIH196,1,1,0
4,: c.NCIH1963,1,1,0
4,: c.NCIH2066,1,1,0
4,: c.NCIH2081,1,1,0
4,: c.NCIH209,1,1,0
4,: c.NCIH211,1,1,0
4,: c.NCIH2171,1,1,0
4,: c.NCIH2196,1,1,0
4,: c.NCIH2227,1,1,0
4,: c.NCIH2286,1,1,0
4,: c.NCIH446,1,1,0
4,: c.NCIH510,1,1,0
4,: c.NCIH524,1,1,0
4,: c.NCIH526,1,1,0
4,: c.NCIH69,1,1,0
4,: c.NCIH82,1,1,0
4,: c.NCIH841,1,1,0
4,: c.NCIH889,1,1,0
4,: c.SBC5,1,1,0
4,: c.SCLC21H,1,1,0
4,: c.SHP77,1,1,0
4,: c.SW1271,1,1,0
4,: m.HCC2433,1,1,0
4,: m.HCC33,1,1,0
4,: m.HCC4000,1,1,0
4,: m.HCC4001,1,1,0
4,: m.HCC4002,1,1,0
4,: m.HCC4003,1,1,0
4,: m.HCC4004,1,1,0
4,: m.HCC4005,1,1,0
4,: m.HCC970,1,1,0
4,: m.NCIH1048,1,1,0
4,: m.NCIH1092,1,1,0
4,: m.NCIH1184,1,1,0
4,: m.NCIH1238,1,1,0
4,: m.NCIH128,1,1,0
4,: m.NCIH1339,1,1,0
4,: m.NCIH1417,1,1,0
4,: m.NCIH1450,1,1,0
4,: m.NCIH146,1,1,0
4,: m.NCIH1514,1,1,0
4,: m.NCIH1607,1,1,0
4,: m.NCIH1628,1,1,0
4,: m.NCIH1672,1,1,0
4,: m.NCIH1688,1,1,0
4,: m.NCIH1694,1,1,0
4,: m.NCIH1836,1,1,0
4,: m.NCIH1870,1,1,0
4,: m.NCIH1876,1,1,0
4,: m.NCIH1882,1,1,0
4,: m.NCIH1926,1,1,0
4,: m.NCIH1930,1,1,0
4,: m.NCIH1963,1,1,0
4,: m.NCIH1994,1,1,0
4,: m.NCIH2029,1,1,0
4,: m.NCIH2081,1,1,0
4,: m.NCIH209,1,1,0
4,: m.NCIH2107,1,1,0
4,: m.NCIH2108,1,1,0
4,: m.NCIH211,1,1,0
4,: m.NCIH2141,1,1,0
4,: m.NCIH2171,1,1,0
4,: m.NCIH2195,1,1,0
4,: m.NCIH2196,1,1,0
4,: m.NCIH2198,1,1,0
4,: m.NCIH2227,1,1,0
4,: m.NCIH250,1,1,0
4,: m.NCIH2679,1,1,0
4,: m.NCIH3282,1,1,0
4,: m.NCIH345,1,1,0
4,: m.NCIH378,1,1,0
4,: m.NCIH446,1,1,0
4,: m.NCIH510,1,1,0
4,: m.NCIH524,1,1,0
4,: m.NCIH526,1,1,0
4,: m.NCIH60,1,1,0
4,: m.NCIH69,1,1,0
4,: m.NCIH711,1,1,0
4,: m.NCIH735,1,1,0
4,: m.NCIH738,1,1,0
4,: m.NCIH740,1,1,0
4,: m.NCIH748,1,1,0
4,: m.NCIH774,1,1,0
4,: m.NCIH82,1,1,0
4,: m.NCIH841,1,1,0
4,: m.NCIH865,1,1,0
4,: m.NCIH889,1,1,0
4,: m.SHP77,1,1,0
4,subtype: N,1,1,0
4,subtype: P,1,1,0
4,subtype: Y,1,1,0
4,subtype: uncl,1,1,0
4,NEW: N,1,1,0
4,NEW: P,1,1,0
4,NEW: Y,1,1,0
5,NEW: A,0.0033595,1,1
5,subtype: A,0.0079364,1,1
5,: c.NCIH1105,0.05,1,1
5,: c.NCIH1436,0.05,1,1
5,: m.NCIH1417,0.05,1,1
5,: m.NCIH1930,0.05,1,1
5,: m.NCIH2081,0.05,1,1
5,: m.NCIH345,0.05,1,1
5,source: Minna,0.50906,1,0
5,source: CCLE,0.79843,1,0
5,: c.COLO668,1,1,0
5,: c.CORL24,1,1,0
5,: c.CORL279,1,1,0
5,: c.CORL311,1,1,0
5,: c.CORL47,1,1,0
5,: c.CORL88,1,1,0
5,: c.CORL95,1,1,0
5,: c.DMS114,1,1,0
5,: c.DMS153,1,1,0
5,: c.DMS273,1,1,0
5,: c.DMS454,1,1,0
5,: c.DMS53,1,1,0
5,: c.DMS79,1,1,0
5,: c.HCC33,1,1,0
5,: c.NCIH1048,1,1,0
5,: c.NCIH1092,1,1,0
5,: c.NCIH1184,1,1,0
5,: c.NCIH1339,1,1,0
5,: c.NCIH1341,1,1,0
5,: c.NCIH146,1,1,0
5,: c.NCIH1618,1,1,0
5,: c.NCIH1694,1,1,0
5,: c.NCIH1836,1,1,0
5,: c.NCIH1876,1,1,0
5,: c.NCIH1930,1,1,0
5,: c.NCIH196,1,1,0
5,: c.NCIH1963,1,1,0
5,: c.NCIH2029,1,1,0
5,: c.NCIH2066,1,1,0
5,: c.NCIH2081,1,1,0
5,: c.NCIH209,1,1,0
5,: c.NCIH211,1,1,0
5,: c.NCIH2171,1,1,0
5,: c.NCIH2196,1,1,0
5,: c.NCIH2227,1,1,0
5,: c.NCIH2286,1,1,0
5,: c.NCIH446,1,1,0
5,: c.NCIH510,1,1,0
5,: c.NCIH524,1,1,0
5,: c.NCIH526,1,1,0
5,: c.NCIH69,1,1,0
5,: c.NCIH82,1,1,0
5,: c.NCIH841,1,1,0
5,: c.NCIH889,1,1,0
5,: c.SBC5,1,1,0
5,: c.SCLC21H,1,1,0
5,: c.SHP77,1,1,0
5,: c.SW1271,1,1,0
5,: m.DMS153,1,1,0
5,: m.HCC2433,1,1,0
5,: m.HCC33,1,1,0
5,: m.HCC4000,1,1,0
5,: m.HCC4001,1,1,0
5,: m.HCC4002,1,1,0
5,: m.HCC4003,1,1,0
5,: m.HCC4004,1,1,0
5,: m.HCC4005,1,1,0
5,: m.HCC970,1,1,0
5,: m.NCIH1048,1,1,0
5,: m.NCIH1092,1,1,0
5,: m.NCIH1184,1,1,0
5,: m.NCIH1238,1,1,0
5,: m.NCIH128,1,1,0
5,: m.NCIH1339,1,1,0
5,: m.NCIH1436,1,1,0
5,: m.NCIH1450,1,1,0
5,: m.NCIH146,1,1,0
5,: m.NCIH1514,1,1,0
5,: m.NCIH1522,1,1,0
5,: m.NCIH1607,1,1,0
5,: m.NCIH1628,1,1,0
5,: m.NCIH1672,1,1,0
5,: m.NCIH1688,1,1,0
5,: m.NCIH1694,1,1,0
5,: m.NCIH1836,1,1,0
5,: m.NCIH187,1,1,0
5,: m.NCIH1870,1,1,0
5,: m.NCIH1876,1,1,0
5,: m.NCIH1882,1,1,0
5,: m.NCIH1926,1,1,0
5,: m.NCIH1963,1,1,0
5,: m.NCIH1994,1,1,0
5,: m.NCIH2029,1,1,0
5,: m.NCIH209,1,1,0
5,: m.NCIH2107,1,1,0
5,: m.NCIH2108,1,1,0
5,: m.NCIH211,1,1,0
5,: m.NCIH2141,1,1,0
5,: m.NCIH2171,1,1,0
5,: m.NCIH2195,1,1,0
5,: m.NCIH2196,1,1,0
5,: m.NCIH2198,1,1,0
5,: m.NCIH2227,1,1,0
5,: m.NCIH250,1,1,0
5,: m.NCIH2679,1,1,0
5,: m.NCIH3282,1,1,0
5,: m.NCIH378,1,1,0
5,: m.NCIH446,1,1,0
5,: m.NCIH510,1,1,0
5,: m.NCIH524,1,1,0
5,: m.NCIH526,1,1,0
5,: m.NCIH60,1,1,0
5,: m.NCIH69,1,1,0
5,: m.NCIH711,1,1,0
5,: m.NCIH735,1,1,0
5,: m.NCIH738,1,1,0
5,: m.NCIH740,1,1,0
5,: m.NCIH748,1,1,0
5,: m.NCIH774,1,1,0
5,: m.NCIH82,1,1,0
5,: m.NCIH841,1,1,0
5,: m.NCIH865,1,1,0
5,: m.NCIH889,1,1,0
5,: m.SHP77,1,1,0
5,subtype: A2,1,1,0
5,subtype: N,1,1,0
5,subtype: P,1,1,0
5,subtype: Y,1,1,0
5,subtype: uncl,1,1,0
5,NEW: A2,1,1,0
5,NEW: N,1,1,0
5,NEW: P,1,1,0
5,NEW: Y,1,1,0
