archetype #,Feature Name,P value (Hypergeom.),Significant after Benjamini-Hochberg correction?,Is first bin maximal?
1,subtype: Y,1.0239e-07,1,1
1,source: CCLE,0.015621,0,1
1,subtype: uncl,0.049376,0,1
1,: c.DMS114,0.1,0,1
1,: c.NCIH1048,0.1,0,1
1,: c.NCIH1339,0.1,0,1
1,: c.NCIH1341,0.1,0,1
1,: c.NCIH196,0.1,0,1
1,: c.NCIH2286,0.1,0,1
1,: c.NCIH841,0.1,0,1
1,: c.SBC5,0.1,0,1
1,: c.SW1271,0.1,0,1
1,: m.NCIH1607,0.1,0,1
1,: m.NCIH2195,0.1,0,1
1,: m.NCIH841,0.1,0,1
1,subtype: P,0.26199,0,0
1,subtype: A2,0.94816,0,0
1,source: Minna,0.99739,0,0
1,: c.COLO668,1,0,0
1,: c.CORL24,1,0,0
1,: c.CORL279,1,0,0
1,: c.CORL311,1,0,0
1,: c.CORL47,1,0,0
1,: c.CORL88,1,0,0
1,: c.CORL95,1,0,0
1,: c.DMS153,1,0,0
1,: c.DMS273,1,0,0
1,: c.DMS454,1,0,0
1,: c.DMS53,1,0,0
1,: c.DMS79,1,0,0
1,: c.HCC33,1,0,0
1,: c.NCIH1092,1,0,0
1,: c.NCIH1105,1,0,0
1,: c.NCIH1184,1,0,0
1,: c.NCIH1436,1,0,0
1,: c.NCIH146,1,0,0
1,: c.NCIH1618,1,0,0
1,: c.NCIH1694,1,0,0
1,: c.NCIH1836,1,0,0
1,: c.NCIH1876,1,0,0
1,: c.NCIH1930,1,0,0
1,: c.NCIH1963,1,0,0
1,: c.NCIH2029,1,0,0
1,: c.NCIH2066,1,0,0
1,: c.NCIH2081,1,0,0
1,: c.NCIH209,1,0,0
1,: c.NCIH211,1,0,0
1,: c.NCIH2171,1,0,0
1,: c.NCIH2196,1,0,0
1,: c.NCIH2227,1,0,0
1,: c.NCIH446,1,0,0
1,: c.NCIH510,1,0,0
1,: c.NCIH524,1,0,0
1,: c.NCIH526,1,0,0
1,: c.NCIH69,1,0,0
1,: c.NCIH82,1,0,0
1,: c.NCIH889,1,0,0
1,: c.SCLC21H,1,0,0
1,: c.SHP77,1,0,0
1,: m.DMS153,1,0,0
1,: m.HCC2433,1,0,0
1,: m.HCC33,1,0,0
1,: m.HCC4000,1,0,0
1,: m.HCC4001,1,0,0
1,: m.HCC4002,1,0,0
1,: m.HCC4003,1,0,0
1,: m.HCC4004,1,0,0
1,: m.HCC4005,1,0,0
1,: m.HCC970,1,0,0
1,: m.NCIH1048,1,0,0
1,: m.NCIH1092,1,0,0
1,: m.NCIH1184,1,0,0
1,: m.NCIH1238,1,0,0
1,: m.NCIH128,1,0,0
1,: m.NCIH1339,1,0,0
1,: m.NCIH1417,1,0,0
1,: m.NCIH1436,1,0,0
1,: m.NCIH1450,1,0,0
1,: m.NCIH146,1,0,0
1,: m.NCIH1514,1,0,0
1,: m.NCIH1522,1,0,0
1,: m.NCIH1628,1,0,0
1,: m.NCIH1672,1,0,0
1,: m.NCIH1688,1,0,0
1,: m.NCIH1694,1,0,0
1,: m.NCIH1836,1,0,0
1,: m.NCIH187,1,0,0
1,: m.NCIH1870,1,0,0
1,: m.NCIH1876,1,0,0
1,: m.NCIH1882,1,0,0
1,: m.NCIH1926,1,0,0
1,: m.NCIH1930,1,0,0
1,: m.NCIH1963,1,0,0
1,: m.NCIH1994,1,0,0
1,: m.NCIH2029,1,0,0
1,: m.NCIH2081,1,0,0
1,: m.NCIH209,1,0,0
1,: m.NCIH2107,1,0,0
1,: m.NCIH2108,1,0,0
1,: m.NCIH211,1,0,0
1,: m.NCIH2141,1,0,0
1,: m.NCIH2171,1,0,0
1,: m.NCIH2196,1,0,0
1,: m.NCIH2198,1,0,0
1,: m.NCIH2227,1,0,0
1,: m.NCIH250,1,0,0
1,: m.NCIH2679,1,0,0
1,: m.NCIH3282,1,0,0
1,: m.NCIH345,1,0,0
1,: m.NCIH378,1,0,0
1,: m.NCIH446,1,0,0
1,: m.NCIH510,1,0,0
1,: m.NCIH524,1,0,0
1,: m.NCIH526,1,0,0
1,: m.NCIH60,1,0,0
1,: m.NCIH69,1,0,0
1,: m.NCIH711,1,0,0
1,: m.NCIH735,1,0,0
1,: m.NCIH738,1,0,0
1,: m.NCIH740,1,0,0
1,: m.NCIH748,1,0,0
1,: m.NCIH774,1,0,0
1,: m.NCIH82,1,0,0
1,: m.NCIH865,1,0,0
1,: m.NCIH889,1,0,0
1,: m.SHP77,1,0,0
1,subtype: A,1,0,0
1,subtype: N,1,0,0
2,subtype: P,5.6866e-13,1,1
2,: c.CORL311,0.1,0,1
2,: c.NCIH1048,0.1,0,1
2,: c.NCIH2066,0.1,0,1
2,: c.NCIH211,0.1,0,1
2,: c.NCIH526,0.1,0,1
2,: m.NCIH1048,0.1,0,1
2,: m.NCIH1450,0.1,0,1
2,: m.NCIH1607,0.1,0,1
2,: m.NCIH211,0.1,0,1
2,: m.NCIH2679,0.1,0,1
2,: m.NCIH526,0.1,0,1
2,: m.NCIH82,0.1,0,1
2,source: CCLE,0.61552,0,0
2,source: Minna,0.6254,0,0
2,subtype: N,0.87186,0,0
2,subtype: A2,0.94816,0,0
2,: c.COLO668,1,0,0
2,: c.CORL24,1,0,0
2,: c.CORL279,1,0,0
2,: c.CORL47,1,0,0
2,: c.CORL88,1,0,0
2,: c.CORL95,1,0,0
2,: c.DMS114,1,0,0
2,: c.DMS153,1,0,0
2,: c.DMS273,1,0,0
2,: c.DMS454,1,0,0
2,: c.DMS53,1,0,0
2,: c.DMS79,1,0,0
2,: c.HCC33,1,0,0
2,: c.NCIH1092,1,0,0
2,: c.NCIH1105,1,0,0
2,: c.NCIH1184,1,0,0
2,: c.NCIH1339,1,0,0
2,: c.NCIH1341,1,0,0
2,: c.NCIH1436,1,0,0
2,: c.NCIH146,1,0,0
2,: c.NCIH1618,1,0,0
2,: c.NCIH1694,1,0,0
2,: c.NCIH1836,1,0,0
2,: c.NCIH1876,1,0,0
2,: c.NCIH1930,1,0,0
2,: c.NCIH196,1,0,0
2,: c.NCIH1963,1,0,0
2,: c.NCIH2029,1,0,0
2,: c.NCIH2081,1,0,0
2,: c.NCIH209,1,0,0
2,: c.NCIH2171,1,0,0
2,: c.NCIH2196,1,0,0
2,: c.NCIH2227,1,0,0
2,: c.NCIH2286,1,0,0
2,: c.NCIH446,1,0,0
2,: c.NCIH510,1,0,0
2,: c.NCIH524,1,0,0
2,: c.NCIH69,1,0,0
2,: c.NCIH82,1,0,0
2,: c.NCIH841,1,0,0
2,: c.NCIH889,1,0,0
2,: c.SBC5,1,0,0
2,: c.SCLC21H,1,0,0
2,: c.SHP77,1,0,0
2,: c.SW1271,1,0,0
2,: m.DMS153,1,0,0
2,: m.HCC2433,1,0,0
2,: m.HCC33,1,0,0
2,: m.HCC4000,1,0,0
2,: m.HCC4001,1,0,0
2,: m.HCC4002,1,0,0
2,: m.HCC4003,1,0,0
2,: m.HCC4004,1,0,0
2,: m.HCC4005,1,0,0
2,: m.HCC970,1,0,0
2,: m.NCIH1092,1,0,0
2,: m.NCIH1184,1,0,0
2,: m.NCIH1238,1,0,0
2,: m.NCIH128,1,0,0
2,: m.NCIH1339,1,0,0
2,: m.NCIH1417,1,0,0
2,: m.NCIH1436,1,0,0
2,: m.NCIH146,1,0,0
2,: m.NCIH1514,1,0,0
2,: m.NCIH1522,1,0,0
2,: m.NCIH1628,1,0,0
2,: m.NCIH1672,1,0,0
2,: m.NCIH1688,1,0,0
2,: m.NCIH1694,1,0,0
2,: m.NCIH1836,1,0,0
2,: m.NCIH187,1,0,0
2,: m.NCIH1870,1,0,0
2,: m.NCIH1876,1,0,0
2,: m.NCIH1882,1,0,0
2,: m.NCIH1926,1,0,0
2,: m.NCIH1930,1,0,0
2,: m.NCIH1963,1,0,0
2,: m.NCIH1994,1,0,0
2,: m.NCIH2029,1,0,0
2,: m.NCIH2081,1,0,0
2,: m.NCIH209,1,0,0
2,: m.NCIH2107,1,0,0
2,: m.NCIH2108,1,0,0
2,: m.NCIH2141,1,0,0
2,: m.NCIH2171,1,0,0
2,: m.NCIH2195,1,0,0
2,: m.NCIH2196,1,0,0
2,: m.NCIH2198,1,0,0
2,: m.NCIH2227,1,0,0
2,: m.NCIH250,1,0,0
2,: m.NCIH3282,1,0,0
2,: m.NCIH345,1,0,0
2,: m.NCIH378,1,0,0
2,: m.NCIH446,1,0,0
2,: m.NCIH510,1,0,0
2,: m.NCIH524,1,0,0
2,: m.NCIH60,1,0,0
2,: m.NCIH69,1,0,0
2,: m.NCIH711,1,0,0
2,: m.NCIH735,1,0,0
