archetype #,Feature Name,P value (Mann-Whitney),Median Difference,Mean Difference,Significant after Benjamini-Hochberg correction?,Is first bin maximal?
1,ANXA1,7.889e-07,8.0206,6.1056,1,1
1,LGALS1,7.6379e-08,7.7483,6.5534,1,1
1,MAGEA4,0.00030804,7.6788,3.8574,1,1
1,VIM,4.9191e-08,7.4905,6.5383,1,1
1,IFITM3,8.8325e-08,5.8249,5.1008,1,1
1,YAP1,3.479e-08,5.51,4.9784,1,1
1,TPM2,7.6379e-08,5.5029,4.771,1,1
1,MYL9,0.0010528,5.4422,3.7107,1,1
1,CTSZ,0.00022676,5.2687,2.8961,1,1
1,ZFP36L1,1.9904e-06,5.0963,3.5522,1,1
1,EPB41L2,9.7801e-06,5.0486,3.5489,1,1
1,SEMA3C,0.00012512,4.9243,3.1096,1,1
1,MICA,1.1788e-07,4.8462,3.8927,1,1
1,MME,0.0017123,4.7749,2.7839,1,1
1,TMBIM1,1.2454e-05,4.7647,3.1673,1,1
1,MMP14,0.00025131,4.7477,3.2757,1,1
1,CNN2,3.479e-08,4.6821,4.5222,1,1
1,WWTR1,1.8521e-05,4.6345,3.2493,1,1
1,CAV1,2.3975e-07,4.623,4.5993,1,1
1,AHNAK,1.071e-07,4.5788,3.9247,1,1
1,THBS1,0.00035231,4.5746,3.1366,1,1
1,OSMR,2.4692e-06,4.5597,3.9902,1,1
1,EMP3,7.9801e-06,4.5437,3.4628,1,1
1,MSRB3,5.6999e-08,4.5335,3.8663,1,1
1,S100A10,0.0010206,4.5326,3.0342,1,1
1,GPX8,1.2366e-07,4.5079,3.8482,1,1
1,IGF2BP2,2.5308e-05,4.4889,2.9264,1,1
1,EMP1,3.6414e-07,4.4605,4.2451,1,1
1,HLA-E,7.5427e-07,4.4507,3.6153,1,1
1,CCND1,0.00012964,4.4253,3.2644,1,1
1,MRC2,9.7275e-08,4.4141,3.7181,1,1
1,RAB32,9.0221e-07,4.4118,3.1106,1,1
1,IGFBP3,0.00012074,4.3938,3.5909,1,1
1,MAGEA9,0.016734,4.3887,2.1748,1,1
1,IFITM2,2.1663e-05,4.3704,3.5174,1,1
1,CD40,6.2786e-05,4.2674,2.4685,1,1
1,FBXO17,0.0014299,4.2652,2.788,1,1
1,HMGA2,2.3654e-06,4.2525,3.2501,1,1
1,CRIM1,9.8628e-07,4.247,3.7119,1,1
1,PLBD1,0.00063551,4.2068,2.962,1,1
1,TNFRSF10B,2.9957e-08,4.1923,3.8457,1,1
1,S100A11,0.013465,4.1837,2.3518,1,1
1,LAMB2,6.7728e-06,4.1397,3.5613,1,1
1,H2AFJ,0.0090226,4.1101,2.354,1,1
1,AJUBA,4.9191e-08,4.0486,3.5398,1,1
1,PIEZO1,2.3654e-06,4.0265,3.2479,1,1
1,TEAD2,1.5201e-05,4.0172,2.9955,1,1
1,TNFRSF12A,4.5813e-07,4.0117,3.3746,1,1
1,STAT6,0.00014418,4.0033,2.4132,1,1
1,PTPN14,1.0207e-07,3.9298,3.2799,1,1
1,CD44,0.00065623,3.9253,3.3686,1,1
1,IGF2BP1,0.00044439,3.9147,2.1215,1,1
1,EGFR,4.0073e-05,3.9028,2.496,1,1
1,EHD2,1.6729e-06,3.854,3.103,1,1
1,ITGB5,8.628e-07,3.8421,3.5187,1,1
1,ISG15,5.2139e-05,3.8378,2.663,1,1
1,COL6A2,7.0571e-06,3.8355,3.1381,1,1
1,APOBEC3B,2.9532e-05,3.8319,3.1092,1,1
1,TGFB1,3.7791e-06,3.8089,3.0893,1,1
1,RRAS,1.906e-06,3.7969,3.0964,1,1
1,EPHA2,2.4515e-08,3.7958,3.6438,1,1
1,CTSL,2.0033e-05,3.7728,3.496,1,1
1,TM4SF1,0.017969,3.771,2.0289,1,1
1,GJA1,0.0018173,3.7572,3.1895,1,1
1,PDGFC,6.7728e-06,3.7272,3.2774,1,1
1,TIMP1,0.00092958,3.7229,2.9243,1,1
1,RARG,5.986e-08,3.7142,3.0561,1,1
1,EPHB4,3.8131e-07,3.7131,3.1625,1,1
1,TRIM5,6.2985e-07,3.711,2.8139,1,1
1,RHBDF1,2.4692e-06,3.6809,2.6476,1,1
1,SPHK1,6.5896e-07,3.6656,3.191,1,1
1,PSMB9,6.5149e-05,3.6602,2.7294,1,1
1,FSTL1,1.1964e-05,3.6586,3.7371,1,1
1,ITGA5,5.9841e-06,3.656,3.2249,1,1
1,HLA-B,0.00027832,3.6448,3.238,1,1
1,SLC2A3,0.0017123,3.6344,2.1302,1,1
1,IER3,1.2862e-06,3.6297,3.2246,1,1
1,MYADM,2.1663e-05,3.6136,3.0476,1,1
1,SYDE1,8.4155e-08,3.6099,3.1766,1,1
1,PLK2,1.2962e-05,3.6082,3.2832,1,1
1,CDC42EP1,2.2524e-05,3.5964,2.9532,1,1
1,CAV2,7.6603e-06,3.5711,3.5635,1,1
1,BST2,0.00016023,3.569,3.4319,1,1
1,SYCP2,2.3654e-06,3.5126,2.6005,1,1
1,CD99,1.9263e-05,3.4904,3.5306,1,1
1,CYBRD1,1.1964e-05,3.4827,2.6127,1,1
1,NQO1,0.00023468,3.4662,2.4249,1,1
1,LATS2,6.93e-08,3.4549,3.2284,1,1
1,LTBP1,5.508e-06,3.4367,3.0284,1,1
1,LGALS3,0.0026572,3.4307,2.2032,1,1
1,PYGL,8.1192e-05,3.4271,2.4954,1,1
1,PMP22,2.2658e-06,3.4185,2.9644,1,1
1,CALD1,0.00047456,3.4176,2.9776,1,1
1,KDELR3,6.4994e-06,3.414,2.6142,1,1
1,RNF212,0.0064317,3.4088,1.9759,1,1
1,FKBP10,1.2454e-05,3.3679,2.979,1,1
1,REST,9.2696e-08,3.3576,2.8928,1,1
1,PPIC,1.2308e-06,3.355,2.9755,1,1
1,ZC4H2,0.0071468,3.3167,1.5883,1,1
1,FXYD5,2.0833e-05,3.3151,3.3767,1,1
1,RAB31,3.1904e-06,3.305,2.8395,1,1
1,COL12A1,3.0576e-06,3.3032,2.887,1,1
1,OLFM2,3.3287e-06,3.261,2.92,1,1
1,BLVRB,6.6003e-08,3.2298,3.2946,1,1
1,IFI35,2.9532e-05,3.2288,2.3826,1,1
1,EFEMP2,4.3218e-05,3.2239,2.4937,1,1
1,CD70,1.8958e-07,3.2029,3.3664,1,1
1,WTIP,3.8423e-08,3.1957,3.0471,1,1
1,FGFRL1,2.0784e-06,3.1922,2.7468,1,1
1,STOM,3.4421e-05,3.1868,2.8843,1,1
1,PLIN3,5.986e-08,3.1623,3.2147,1,1
1,AXL,3.8423e-08,3.1557,3.7721,1,1
1,IL1RAP,0.00010092,3.1452,2.1425,1,1
1,ZYX,2.7578e-07,3.1302,3.3102,1,1
1,PROS1,0.00010845,3.1111,2.3212,1,1
1,CPNE8,0.0027346,3.1057,1.6115,1,1
1,SP100,0.0028957,3.0994,1.8696,1,1
