archetype #,Feature Name,P value (Hypergeom.),Significant after Benjamini-Hochberg correction?,P maximal
1,response cluster: Exceptional,0.098313,1,-Inf
1,pfs cluster: Exceptional,0.21568,1,-Inf
1,response cluster: None,0.34579,1,-Inf
1,pfs cluster: Average,0.45824,1,-Inf
1,response cluster: Average,0.68487,1,-Inf
1,pfs cluster: NA,0.82673,1,-Inf
1,response cluster: Poor,1,1,-Inf
1,pfs cluster: Poor,1,1,-Inf
2,response cluster: Poor,0.19959,1,-Inf
2,pfs cluster: Poor,0.21568,1,-Inf
2,response cluster: None,0.34579,1,-Inf
2,pfs cluster: NA,0.57918,1,-Inf
2,pfs cluster: Exceptional,0.62788,1,-Inf
2,response cluster: Exceptional,0.63717,1,-Inf
2,response cluster: Average,0.98598,1,-Inf
2,pfs cluster: Average,1,1,-Inf
3,response cluster: Average,0.15394,1,-Inf
3,pfs cluster: NA,0.28872,1,-Inf
3,pfs cluster: Average,0.45824,1,-Inf
3,response cluster: Poor,0.77558,1,-Inf
3,response cluster: Exceptional,0.90844,1,-Inf
3,response cluster: None,1,1,-Inf
3,pfs cluster: Exceptional,1,1,-Inf
3,pfs cluster: Poor,1,1,-Inf
4,pfs cluster: NA,0.087274,1,-Inf
4,response cluster: Exceptional,0.30917,1,-Inf
4,pfs cluster: Poor,0.62788,1,-Inf
4,response cluster: Average,0.68487,1,-Inf
4,response cluster: Poor,0.77558,1,-Inf
4,response cluster: None,1,1,-Inf
4,pfs cluster: Average,1,1,-Inf
4,pfs cluster: Exceptional,1,1,-Inf
5,response cluster: Average,0.15394,1,-Inf
5,pfs cluster: Average,0.45824,1,-Inf
5,pfs cluster: NA,0.57918,1,-Inf
5,pfs cluster: Exceptional,0.62788,1,-Inf
5,response cluster: Poor,0.77558,1,-Inf
5,response cluster: Exceptional,0.90844,1,-Inf
5,response cluster: None,1,1,-Inf
5,pfs cluster: Poor,1,1,-Inf
