archetype #,Feature Name,P value (Mann-Whitney),Median Difference,Mean Difference,Significant after Benjamini-Hochberg correction?,Is first bin maximal?
1,GAS2L1,2.8891e-07,3.0624,2.5433,1,1
1,SERPINH1,9.2696e-08,3.0615,2.9681,1,1
1,HFE,4.8379e-05,3.0546,2.1421,1,1
1,HMOX1,1.4268e-07,3.0466,2.6332,1,1
1,CLU,0.0013054,3.0439,2.4875,1,1
1,NOTCH2,1.725e-07,3.0397,3.0682,1,1
1,RASSF8,3.4728e-06,3.0328,2.4873,1,1
1,DMKN,0.0045306,3.0139,2.2294,1,1
1,OAF,4.4712e-06,3.0022,2.2387,1,1
1,ADM,7.8282e-05,2.9884,2.6333,1,1
1,ACTA2,0.00044439,2.9847,2.5662,1,1
1,FBXO27,0.011047,2.9588,1.5242,1,1
1,TNFSF12,0.0049174,2.9511,2.1929,1,1
1,MFGE8,1.0311e-06,2.9445,3.6723,1,1
1,PPP1R14A,0.025414,2.9325,1.5126,1,1
1,TCIRG1,0.010506,2.9049,1.7065,1,1
1,WWC2,1.0184e-05,2.8865,2.3569,1,1
1,RBPMS2,1.1964e-05,2.8815,2.2694,1,1
1,YBX3,4.6623e-06,2.87,3.3519,1,1
1,RAB34,4.6623e-06,2.8637,2.5507,1,1
1,HOXC10,0.00044439,2.8504,2.541,1,1
1,APOBEC3C,0.00038934,2.8433,1.8058,1,1
1,TUBB4A,0.00032948,2.8272,2.0337,1,1
1,SERPINB6,0.00040247,2.8218,2.1705,1,1
1,ETV4,9.0551e-05,2.8109,2.1912,1,1
1,GABRE,0.00042998,2.795,2.0495,1,1
1,CLDN1,0.0054795,2.7811,2.1482,1,1
1,RHOC,3.0264e-07,2.7781,2.7976,1,1
1,TNFRSF10D,1.6455e-05,2.7726,2.0673,1,1
1,DKK1,0.0001165,2.7718,2.3457,1,1
1,RNF135,4.0073e-05,2.7668,2.0291,1,1
1,TAP1,2.8418e-05,2.7595,2.3679,1,1
1,BCL2L12,1.8084e-07,2.7471,2.6641,1,1
1,ANXA2,3.3287e-06,2.7386,3.013,1,1
1,HLA-F,4.4878e-05,2.7369,2.3808,1,1
1,NFKB2,1.4268e-07,2.7315,2.5447,1,1
1,MICB,4.8379e-05,2.73,2.2159,1,1
1,HLA-C,0.001228,2.7251,2.448,1,1
1,FBXO2,0.00022676,2.7056,2.5421,1,1
1,MYOF,2.3418e-05,2.6955,2.7054,1,1
1,COL5A1,7.0571e-06,2.6908,2.482,1,1
1,NOTCH3,0.00035231,2.6894,2.4539,1,1
1,TMEM200B,0.00014418,2.6849,2.0114,1,1
1,SIRPA,0.00017186,2.6831,2.0121,1,1
1,NID1,0.0022992,2.6827,1.9109,1,1
1,SGMS2,6.0198e-07,2.6462,2.1995,1,1
1,KLHL5,1.6729e-06,2.6456,2.6126,1,1
1,ATP8B3,1.6729e-06,2.6263,2.1083,1,1
1,BIRC3,3.3132e-05,2.6251,2.4071,1,1
1,ZNF217,1.6015e-06,2.6239,2.8887,1,1
1,AMOTL2,3.8583e-05,2.6216,2.4753,1,1
1,LAMB1,0.00069957,2.6122,2.0544,1,1
1,IGFBP4,8.7323e-05,2.6027,2.6603,1,1
1,TRIP6,0.00059588,2.5924,1.89,1,1
1,AKR1E2,0.0090226,2.5755,1.4982,1,1
1,SMAD3,9.8628e-07,2.5634,2.5278,1,1
1,CHST3,5.4977e-07,2.5626,2.2758,1,1
1,PLEKHA4,0.0011549,2.5525,1.6588,1,1
1,MVP,0.0022332,2.5504,1.7545,1,1
1,ALDH1A3,1.349e-05,2.5357,1.8558,1,1
1,PCDH7,0.00065623,2.5307,1.6105,1,1
1,SP110,1.2308e-06,2.5302,2.1665,1,1
1,CCL2,7.547e-05,2.5298,2.6458,1,1
1,CCDC102A,9.0221e-07,2.5213,2.0619,1,1
1,TMEM63A,6.7728e-06,2.5152,2.1401,1,1
1,FBLN1,0.0010206,2.5103,2.0996,1,1
1,COL6A1,0.00045924,2.5061,2.1707,1,1
1,SIX5,3.31e-08,2.4883,2.2686,1,1
1,AGRN,3.7791e-06,2.4836,2.5321,1,1
1,GADD45B,1.4674e-06,2.4784,2.6061,1,1
1,TRIM7,8.3127e-06,2.4774,2.0601,1,1
1,DSE,6.0504e-05,2.4751,1.823,1,1
1,PLAU,3.5759e-05,2.4695,2.2279,1,1
1,ROBO3,0.0097392,2.4567,1.4419,1,1
1,BNC2,0.00026903,2.4433,1.9143,1,1
1,HOXC13,1.0184e-05,2.4352,1.8978,1,1
1,COL18A1,6.4994e-06,2.4271,2.135,1,1
1,IL4R,4.1112e-06,2.4247,2.3778,1,1
1,FSTL3,7.3528e-06,2.4241,2.1211,1,1
1,NBPF10,6.0198e-07,2.4216,1.8864,1,1
1,LOXL2,6.7596e-05,2.4102,2.0828,1,1
1,KIF1C,2.8077e-06,2.4046,1.9618,1,1
1,RNASE4,4.1112e-06,2.39,1.7392,1,1
1,EFNA4,1.1964e-05,2.3807,2.0517,1,1
1,EHBP1L1,1.1776e-06,2.3715,2.1846,1,1
1,MR1,5.7413e-06,2.3693,2.0787,1,1
1,CCDC80,0.00012074,2.3682,2.0718,1,1
1,LRP10,4.8612e-06,2.3625,2.0832,1,1
1,METTL7B,0.0011199,2.3486,1.7121,1,1
1,ERBB2,0.0018173,2.3441,1.5317,1,1
1,TGFBR2,2.3418e-05,2.3427,2.3679,1,1
1,ITGB4,1.8521e-05,2.3377,2.3831,1,1
1,KCNG1,0.0019282,2.3375,1.9046,1,1
1,DOCK1,2.8891e-07,2.3336,2.3353,1,1
1,FNDC3B,1.7474e-06,2.3243,2.0886,1,1
1,RGS10,0.00012074,2.3243,2.0253,1,1
1,EPDR1,0.001986,2.3201,1.8091,1,1
1,TUBB6,1.8521e-05,2.3113,2.6611,1,1
1,COL4A1,0.0031536,2.2994,1.7434,1,1
1,BMP4,0.00036427,2.295,1.5875,1,1
1,EPAS1,0.016734,2.2908,1.5511,1,1
1,MYO1C,4.3763e-07,2.2843,2.0147,1,1
1,ACSF2,0.00014935,2.2842,1.751,1,1
1,CT45A5,0.0001165,2.2823,2.7382,1,1
1,EGFL7,0.0030654,2.2821,1.6433,1,1
1,PDLIM7,1.4963e-07,2.2764,2.4006,1,1
1,EGR1,0.004408,2.2734,1.8264,1,1
1,SPRY4,9.0551e-05,2.2685,1.827,1,1
1,FRMD6,0.0006154,2.2669,1.9633,1,1
1,TNFRSF1A,2.7343e-05,2.2508,2.2723,1,1
1,SGK1,0.00017186,2.2501,2.4827,1,1
1,PTGR1,0.00045924,2.2468,2.0933,1,1
1,CSF1,2.3654e-06,2.2352,1.9498,1,1
1,GALNT14,0.014486,2.2327,1.5797,1,1
1,TWIST1,0.0021062,2.2317,1.7826,1,1
1,BAG3,5.2533e-07,2.2295,2.1757,1,1
1,BCL3,6.4994e-06,2.2231,2.0962,1,1
1,PAPSS2,0.0010528,2.2168,2.076,1,1
1,DUSP6,0.00095906,2.2155,2.1919,1,1
1,PACSIN3,3.17e-07,2.1942,2.1311,1,1
1,TNFSF9,8.2505e-07,2.1913,1.8448,1,1
1,GNG12,0.00059588,2.1789,1.7522,1,1
1,HOMER3,2.2658e-06,2.1683,2.1571,1,1
1,NABP1,0.0014738,2.168,1.8887,1,1
1,COL4A2,0.0047853,2.1642,1.6286,1,1
1,IL15RA,2.7578e-07,2.1635,1.9695,1,1
1,ANXA4,4.0073e-05,2.1634,1.9006,1,1
1,PDE4A,0.00010462,2.1591,1.4992,1,1
1,AHNAK2,8.6584e-06,2.1533,2.3202,1,1
1,IKBIP,6.5896e-07,2.1532,2.0684,1,1
1,MKX,0.0037331,2.1512,1.2833,1,1
1,MMP17,0.0047853,2.147,1.4568,1,1
1,RNF207,0.0062634,2.1436,1.7352,1,1
1,ATXN1,0.004408,2.1335,1.3165,1,1
1,TEAD4,7.889e-07,2.1311,1.9629,1,1
1,TRIP10,1.071e-07,2.1299,2.5605,1,1
1,CERCAM,1.4674e-06,2.127,2.0389,1,1
1,POLD4,1.4039e-05,2.1248,1.8124,1,1
1,EVA1B,0.00041602,2.1234,1.6316,1,1
1,SLC12A4,5.0226e-05,2.1222,1.9702,1,1
1,ACOT9,5.2533e-07,2.1157,2.5935,1,1
1,ELK3,3.0576e-06,2.1108,2.3712,1,1
1,VCL,6.93e-08,2.1098,2.2738,1,1
1,PLEC,5.753e-07,2.1089,2.014,1,1
1,PLD1,2.6307e-05,2.1058,1.835,1,1
1,LRRC8E,9.0551e-05,2.0976,1.3535,1,1
1,PDGFA,0.00032948,2.0965,1.4767,1,1
1,HOXC8,0.00024286,2.0899,1.4584,1,1
1,NOG,5.7413e-06,2.0887,1.6835,1,1
1,PLCD3,1.9904e-06,2.084,2.0261,1,1
1,PROSER2,1.0311e-06,2.0639,1.9301,1,1
1,ZNF185,5.4121e-05,2.0609,1.6161,1,1
1,ADAM9,2.6322e-07,2.0576,1.9762,1,1
1,SERTAD1,2.5122e-07,2.0559,1.8307,1,1
1,DRAM1,2.0829e-07,2.0559,2.195,1,1
1,CRTAP,1.7474e-06,2.0552,2.0224,1,1
1,SCARA3,0.0010206,2.0482,1.4163,1,1
1,SPATA20,1.0184e-05,2.0455,1.7259,1,1
1,PROCR,0.0028141,2.0406,1.9141,1,1
1,LMNA,5.0194e-07,2.0365,2.3053,1,1
1,TCF7L1,1.5201e-05,2.0359,1.7935,1,1
1,FGF2,6.7728e-06,2.0357,1.9016,1,1
1,ASAP3,2.8418e-05,2.0357,1.7623,1,1
1,RILPL2,4.7955e-07,2.0272,2.0137,1,1
1,ADAMTS10,2.6307e-05,2.0265,1.4988,1,1
1,GLIS3,0.0069616,2.0261,1.4537,1,1
1,BCL9L,5.753e-07,2.0184,2.0555,1,1
1,VMP1,4.6597e-05,2.0177,1.5122,1,1
1,TCF7L2,1.4044e-06,2.0169,1.7969,1,1
1,ICAM5,0.00037661,2.0124,1.6773,1,1
1,PLXDC2,0.00095906,2.0101,1.4055,1,1
1,IL27RA,1.2962e-05,2.0056,1.8564,1,1
1,44084,2.7578e-07,1.999,2.2695,1,1
1,AKAP7,0.00023468,1.9917,1.4827,1,1
1,FLNC,0.0099891,1.9817,1.942,1,1
1,MYL12A,1.9904e-06,1.9761,1.8682,1,1
1,CLIP4,0.0060989,1.9736,1.6196,1,1
1,ANG,1.5201e-05,1.9722,1.5514,1,1
1,FBN1,2.8418e-05,1.9664,2.1855,1,1
1,METRNL,0.00017186,1.9663,1.8811,1,1
1,IFIT1,4.8379e-05,1.9659,1.5806,1,1
1,PLA2G16,0.0079323,1.9649,1.4756,1,1
1,FUOM,0.00034072,1.9644,1.8414,1,1
1,GSTM4,0.0053338,1.9625,1.2667,1,1
1,RILP,0.00023468,1.9604,1.4315,1,1
1,CELSR1,0.00022676,1.9565,1.6193,1,1
1,QKI,1.0779e-06,1.9546,1.9461,1,1
1,IFI44,0.0040578,1.9464,1.8319,1,1
1,ARPC1B,4.6597e-05,1.9446,1.8527,1,1
1,CPNE7,0.013465,1.9433,1.4083,1,1
1,SLC25A43,0.00019079,1.9407,1.5921,1,1
1,KCTD11,1.9904e-06,1.9378,1.8768,1,1
1,HOXA1,0.00029782,1.9367,1.2739,1,1
1,DECR1,0.0013872,1.9356,1.4557,1,1
1,LTBP2,3.8583e-05,1.9319,1.9256,1,1
1,S1PR5,7.3528e-06,1.9312,1.5351,1,1
1,ELL2,0.00074557,1.9264,1.4581,1,1
1,FAM114A1,0.00014935,1.9256,1.8886,1,1
1,FEZ2,2.6322e-07,1.9227,1.8921,1,1
1,GLI1,3.6228e-06,1.9208,1.6741,1,1
1,RAB3IL1,4.4712e-06,1.9207,1.7669,1,1
1,S1PR3,2.5308e-05,1.919,1.4973,1,1
1,TRPM4,1.0604e-05,1.9086,1.7187,1,1
1,SDSL,0.00036427,1.9065,1.6846,1,1
1,EFEMP1,0.00353,1.9037,2.206,1,1
1,UACA,5.0683e-06,1.9006,2.1506,1,1
1,HEXB,5.2533e-07,1.8993,1.835,1,1
1,PLOD1,4.1802e-07,1.8938,1.9935,1,1
1,PDLIM4,0.023741,1.8932,1.1599,1,1
1,ZCCHC24,1.2308e-06,1.892,1.8246,1,1
1,FAH,9.3916e-06,1.8914,2.0201,1,1
1,ATF7IP2,0.0056288,1.8913,1.6875,1,1
1,HSPB1,0.00011241,1.8867,1.9032,1,1
1,EID3,0.0021062,1.8834,1.7616,1,1
1,NPAS2,7.8282e-05,1.883,1.7477,1,1
1,PARVB,0.0057817,1.8822,1.4486,1,1
1,LDLRAP1,1.1493e-05,1.8817,1.7572,1,1
1,PRRX2,0.00049035,1.881,1.8425,1,1
1,ETV5,0.0021062,1.8776,1.5653,1,1
1,RBMS1,1.5816e-05,1.8691,2.0165,1,1
1,TMEM144,0.00054072,1.8551,1.2016,1,1
1,RBMS3,3.1904e-06,1.8481,1.6741,1,1
1,SMAD6,6.0195e-07,1.8403,1.8943,1,1
1,PARP3,1.7118e-05,1.8369,1.6447,1,1
1,CYP1B1,0.0012662,1.8359,1.6441,1,1
1,TMEM45A,0.009256,1.8343,1.4359,1,1
1,SFXN3,2.0033e-05,1.8283,1.7777,1,1
1,ADAMTSL4,0.0017641,1.8283,1.4689,1,1
1,ADAMTSL5,1.4044e-06,1.8274,1.7894,1,1
1,PLS3,0.00032948,1.8266,2.0779,1,1
1,CDK6,0.009256,1.8224,1.3862,1,1
1,C3,1.9263e-05,1.8203,2.0055,1,1
1,FAM20C,0.00021909,1.8199,1.9122,1,1
1,SLC35D2,0.0022992,1.8172,1.5019,1,1
1,C1S,4.7955e-07,1.8164,1.9729,1,1
1,SAMD11,0.009256,1.8125,1.406,1,1
1,F3,0.012203,1.8119,1.4285,1,1
1,PRKCQ,0.0099891,1.8079,0.9532,1,1
1,CTSB,5.2139e-05,1.8049,1.3065,1,1
1,OSGIN1,1.2962e-05,1.8039,1.5673,1,1
1,NKX2-5,0.017969,1.8001,1.1752,1,1
1,SLC47A1,0.00021167,1.7993,1.4568,1,1
1,ANTXR1,0.0062634,1.7986,1.3858,1,1
1,PCSK6,0.017969,1.7979,0.97215,1,1
1,TPBG,0.0014299,1.7957,1.751,1,1
1,IL32,9.7801e-06,1.7941,2.107,1,1
1,CLCF1,1.1788e-07,1.7894,1.8704,1,1
1,CTSA,2.4692e-06,1.7892,1.497,1,1
1,MAP3K6,7.889e-07,1.785,1.7767,1,1
1,SH3KBP1,4.1617e-05,1.7828,2.0443,1,1
1,PDLIM2,0.00010462,1.7817,1.7218,1,1
1,RHBDF2,7.013e-05,1.7798,1.5948,1,1
1,NTN1,0.00017186,1.7763,1.512,1,1
1,CD68,1.4674e-06,1.775,2.8447,1,1
1,ARID5B,0.0014738,1.7718,1.6197,1,1
1,PCOLCE,0.00042998,1.7618,1.8943,1,1
1,EOGT,1.4963e-07,1.7584,1.8054,1,1
1,COL5A2,0.0040578,1.7553,2.8439,1,1
1,SNX33,1.9263e-05,1.755,1.5569,1,1
1,SPEF2,0.00045924,1.7549,1.1292,1,1
1,CAP2,3.4421e-05,1.7532,1.9947,1,1
1,NQO2,3.0689e-05,1.7528,1.8604,1,1
1,LAMC1,6.2985e-07,1.7509,1.8727,1,1
1,TAP2,4.6597e-05,1.7503,1.9171,1,1
1,FZD7,0.00028792,1.7426,1.5069,1,1
1,RHOD,0.019283,1.7386,1.528,1,1
1,PARP14,0.00079435,1.7379,1.4681,1,1
1,SHC1,8.6584e-06,1.737,1.7313,1,1
1,FOSL1,1.2862e-06,1.7317,2.8531,1,1
1,TFPI2,0.0054795,1.7314,2.7808,1,1
1,ITPRIPL2,8.4205e-05,1.7305,1.5303,1,1
1,MYLK,0.0017641,1.7303,1.4247,1,1
1,TGIF1,0.00024286,1.7267,1.602,1,1
1,ITGAV,9.0221e-07,1.7262,1.8914,1,1
1,TAX1BP3,5.2837e-06,1.7226,1.4733,1,1
1,DDAH2,0.020205,1.7214,1.037,1,1
1,AGTRAP,1.2454e-05,1.7174,1.5742,1,1
1,A4GALT,0.014841,1.7128,1.0051,1,1
1,METRN,0.0099891,1.7104,1.3025,1,1
1,NNMT,0.00072223,1.7088,2.3497,1,1
1,LAMA5,1.6455e-05,1.7068,1.7395,1,1
1,FAT1,0.00045924,1.7067,1.9797,1,1
1,TRIM16L,0.01282,1.7065,1.176,1,1
1,HAPLN3,2.2524e-05,1.7063,2.1451,1,1
1,SH3D19,0.0001547,1.7039,1.3471,1,1
1,LRP1,2.7578e-07,1.7019,1.8591,1,1
1,HSBP1L1,0.0014738,1.6997,1.2293,1,1
1,SMARCD3,0.0028141,1.6978,1.3047,1,1
1,NOTCH1,0.00022676,1.6964,1.624,1,1
1,FOSL2,8.7323e-05,1.6919,1.7738,1,1
1,RBMS2,1.4044e-06,1.6887,1.8946,1,1
1,SNAP23,2.7578e-07,1.6863,1.5857,1,1
1,CMTM3,3.0689e-05,1.6851,1.7851,1,1
1,MAP3K8,1.0779e-06,1.6841,1.6316,1,1
1,BMP1,5.9841e-06,1.6812,1.893,1,1
1,LPAR3,0.0040578,1.679,0.91413,1,1
1,LRRC6,0.001228,1.6782,1.0381,1,1
1,REEP6,0.0097392,1.6753,1.1628,1,1
1,KIF13A,6.7728e-06,1.6738,1.9294,1,1
1,GALNT4,5.2837e-06,1.673,1.6292,1,1
1,EVC,4.4712e-06,1.672,1.4711,1,1
1,RDH10,1.5201e-05,1.6692,2.0445,1,1
1,FIBCD1,0.0090226,1.6684,1.1209,1,1
1,INPP4B,0.0083534,1.6671,1.1539,1,1
1,C1QL4,0.00067758,1.6671,1.4935,1,1
1,ITGB3,3.8583e-05,1.667,1.564,1,1
1,ACTN1,4.8612e-06,1.666,1.6855,1,1
1,ANLN,3.6414e-07,1.6627,1.4797,1,1
1,FGFR3,0.001191,1.6621,1.2231,1,1
1,BTNL9,0.0050528,1.6615,1.5049,1,1
1,TTC23,0.00079435,1.661,1.1869,1,1
1,APOBEC3G,0.0021689,1.6596,1.3356,1,1
1,ADORA2B,4.4878e-05,1.6553,1.5955,1,1
1,NFKBIZ,9.389e-05,1.6552,1.3129,1,1
1,RPL39L,0.00026903,1.6536,1.9495,1,1
1,SLIT3,0.0022992,1.6506,1.2171,1,1
1,MARVELD1,5.2837e-06,1.6501,1.5524,1,1
1,UBTD1,4.3763e-07,1.65,1.7922,1,1
1,SIAE,0.0010528,1.641,1.2518,1,1
1,SHISA4,0.00037661,1.638,1.491,1,1
1,CD151,1.2962e-05,1.6355,1.6094,1,1
1,TPM4,1.8084e-07,1.633,1.6442,1,1
1,ENDOD1,1.5201e-05,1.6319,1.5038,1,1
1,GPR157,0.00059588,1.6304,1.3083,1,1
1,SUCLG2,1.9904e-06,1.6274,1.6281,1,1
1,TRIM59,0.001228,1.6267,1.2038,1,1
1,CD9,0.00038934,1.6266,2.302,1,1
1,SLC8B1,2.7343e-05,1.6265,1.4815,1,1
1,GBP3,0.015574,1.6265,1.3774,1,1
1,FLNA,5.0683e-06,1.6262,1.6789,1,1
1,ARHGEF17,9.0551e-05,1.6223,1.4558,1,1
1,NBL1,0.0022992,1.6209,1.3954,1,1
1,NAB2,3.6414e-07,1.6207,1.9744,1,1
1,TSPO,9.3916e-06,1.618,1.8544,1,1
1,COL27A1,9.0551e-05,1.6162,1.3437,1,1
1,EXT1,5.508e-06,1.6155,1.5033,1,1
1,ITPR1,2.0033e-05,1.6131,1.4709,1,1
1,ITGA3,0.0081404,1.6125,1.5983,1,1
1,COL1A1,0.00026003,1.6106,2.0119,1,1
1,ORAI3,2.0033e-05,1.6083,1.466,1,1
1,BAG2,0.00012074,1.6041,1.2817,1,1
1,PKN3,0.00016023,1.6023,1.3896,1,1
1,CCL28,0.023741,1.5943,1.1453,1,1
1,SPATS2L,0.0022332,1.5938,1.634,1,1
1,RELB,1.5816e-05,1.5921,1.8601,1,1
1,HELZ2,4.6597e-05,1.5921,1.3634,1,1
1,PPFIBP1,1.8521e-05,1.5863,1.6165,1,1
1,LTBP3,0.00034072,1.5859,1.228,1,1
1,DLX4,0.0083534,1.5841,1.0391,1,1
1,SLFN5,0.00028792,1.5829,1.5439,1,1
1,UPP1,0.00032948,1.5792,2.1328,1,1
1,PLCB3,1.1267e-06,1.5775,1.3114,1,1
1,JOSD2,1.8521e-05,1.5773,1.4359,1,1
1,BOK,0.00021909,1.5757,1.4687,1,1
1,ALDH7A1,5.6174e-05,1.5754,2.5646,1,1
1,GALNT10,4.1617e-05,1.5712,1.7828,1,1
1,ERRFI1,0.016339,1.5693,1.2678,1,1
1,RB1,0.0029794,1.5663,1.3326,1,1
1,LCAT,0.00035231,1.561,1.3583,1,1
1,DGKA,2.4346e-05,1.5585,1.5632,1,1
1,SUMF1,1.0779e-06,1.5581,1.5716,1,1
1,NTF4,2.1831e-07,1.5576,1.4466,1,1
1,SRPX,0.010773,1.5559,1.2171,1,1
1,VSIG10L,0.0010528,1.552,1.073,1,1
1,CRLF1,0.0029794,1.5393,1.0662,1,1
1,MAN2A1,9.0551e-05,1.5391,1.3644,1,1
