Y,P,N,A2,A,,Y,P,N,A2,A
122.0348992,107.8330817,91.21426018,93.2823329,76.33836702,,38,34,55,51,91
122.3344967,108.8677947,95.30284173,101.1014404,77.63646399,,50,92,106,64,83
129.3335143,112.0659615,96.83582155,101.9234955,81.28805058,,19,107,108,9,72
129.5613905,120.7863948,98.3409628,103.1608701,83.85494312,,45,42,41,115,75
133.7353084,122.5214518,98.47654823,103.6072385,85.91589041,,117,61,60,30,90
141.78288,122.5405735,100.0192842,105.4738652,86.70124422,,28,100,52,7,110
143.5063196,126.4123869,100.3313166,105.9618016,87.28985044,,8,69,77,87,65
145.4334443,129.0521339,101.7279488,107.4848793,90.1940071,,47,4,103,74,71
155.8280863,134.2217861,102.3552638,107.8833227,90.80656609,,95,15,24,6,29
160.998997,139.6930443,102.6516401,108.9049196,93.57200652,,15,73,35,111,81
162.5429396,144.3061247,107.9654457,108.9627376,93.70831937,,61,105,94,1,23
163.750089,145.1300664,113.3011656,110.0239069,94.3122967,,73,116,104,54,85
173.2338018,146.9409506,116.0526431,110.0475823,95.31679607,,97,81,48,118,17
174.5416643,147.4799719,116.9651268,110.2862939,96.67325731,,20,82,10,86,112
177.4945388,147.9423265,118.4881945,113.7605145,96.80734886,,10,53,59,96,62
178.2725706,148.0389195,119.0283703,115.0694717,97.68122626,,116,44,39,40,67
178.6395222,148.8217149,124.5365041,115.8488727,97.8868778,,92,10,80,119,113
181.8132824,148.9855279,125.9318266,117.5853842,98.16188789,,96,72,98,97,68
183.6933401,153.3423277,126.8418945,118.098143,98.41118325,,69,85,85,36,57
184.4574038,153.5682632,127.9295767,118.5539008,99.35428567,,31,33,44,99,93
185.7645914,153.7854974,129.0303028,118.7034805,100.3221671,,36,117,90,89,21
193.1764918,153.7926352,130.506206,120.4901763,100.5579838,,105,31,62,11,101
194.5835034,154.2987727,131.0292809,120.8585457,102.4154187,,63,89,53,57,33
194.6194278,154.4747678,131.5551055,120.9147936,103.2952587,,108,83,56,76,26
195.6850607,154.9099277,132.3446577,120.9638457,103.6341588,,82,26,109,32,78
195.748096,155.7079776,132.5119818,122.2632011,103.8870385,,39,59,18,105,16
196.5122717,155.8479508,133.3176493,122.8742754,104.6592033,,120,93,37,114,102
196.8156116,156.1774991,133.5832122,122.8918168,105.4273792,,104,6,29,88,82
197.0543081,156.6096101,133.8393927,123.5141852,105.6049324,,66,114,16,95,18
197.6130538,156.6559618,133.9870434,123.5163582,105.7932686,,84,79,72,46,56
198.3141677,156.6744792,134.0334025,123.8078529,107.3684657,,111,78,3,120,58
198.5574461,156.849381,135.5835237,123.813378,110.0112455,,34,40,14,12,80
198.9002238,157.4125498,136.5538661,124.5348144,110.7291723,,26,94,83,90,89
200.0568277,157.4496176,138.6841959,124.552279,113.1150816,,107,106,58,78,53
201.3563533,157.4510994,139.0077193,125.3200346,113.9450813,,12,68,71,25,114
201.5337666,157.7632058,139.0774975,126.0529806,114.2462656,,76,54,5,65,79
201.8232256,158.0859013,140.6904066,127.2454803,115.3631893,,106,23,32,102,51
202.3401008,158.3642043,140.8191153,127.5628973,115.7149854,,49,88,67,33,103
202.6629774,158.4491092,141.3939242,128.0681203,115.8208831,,57,108,110,75,87
203.7448841,159.0395581,141.4156672,128.3114139,118.3459585,,18,111,102,70,118
203.7681321,159.0978018,141.5120021,132.2154448,118.5419421,,44,76,91,5,84
204.3045736,159.2032541,142.9826644,132.5931014,118.6368281,,77,41,27,113,63
204.5992944,159.806007,143.5584449,132.8315365,118.7318242,,98,71,101,67,54
204.8751353,160.0132211,144.0597987,132.8780352,119.6746736,,40,12,113,79,74
205.0353146,160.4488759,145.1404736,133.8653066,120.4921242,,37,112,68,68,14
205.1886751,160.4489012,145.8979256,133.9770473,121.0435834,,93,80,57,16,70
205.5528684,160.7392614,146.0469157,133.9863326,121.3645296,,102,86,93,62,66
205.9432084,161.7321867,146.1987874,134.5154893,122.2417325,,64,57,63,49,5
206.6167584,162.1246964,146.3023434,135.3003161,122.7593194,,56,45,65,101,27
207.0384902,163.1515788,146.9714139,136.8983458,123.2230493,,23,1,107,21,52
207.4705906,163.182693,147.307784,137.4402123,124.1651146,,42,14,2,91,13
207.608594,163.3752398,147.5771947,137.9214877,124.7730263,,71,32,54,93,25
208.0159322,163.6133172,147.760455,137.9786308,125.0027685,,58,27,79,23,109
208.2283467,164.4204411,147.7757174,139.2438821,125.8890854,,27,11,119,3,32
209.7533353,164.5244698,147.9845291,140.2111741,126.8815538,,115,90,75,84,88
209.8833253,164.8861734,148.8370723,141.1117593,126.9733351,,41,51,112,22,99
210.4229263,165.1062862,148.8891427,142.3199393,127.0841151,,80,66,70,66,59
210.6223632,165.243548,149.5145933,144.8871207,127.1852116,,89,25,84,71,105
211.147999,165.6881475,149.8914057,145.9988034,127.9257402,,100,99,81,72,6
