Y,P,N,A2,A,,Y,P,N,A2,A
211.6863998,165.8894575,150.8685262,146.3314897,128.7783565,,51,70,78,80,98
212.1158312,166.3483678,151.3599444,146.6167464,131.0920824,,86,8,88,109,9
212.8729479,167.1982881,152.1388759,149.0854082,131.1819019,,74,35,46,31,119
213.2485349,167.2663932,152.4254676,151.296092,131.654495,,68,87,43,17,46
213.2649145,167.7972181,152.4642323,152.2156075,132.8862634,,60,65,116,83,60
213.5319063,168.1101209,152.8801686,152.5411574,133.2180306,,94,84,114,43,86
213.7412952,168.2086231,153.7357264,153.9423038,135.6219144,,99,67,21,110,35
213.9026378,168.4500708,154.5448853,154.2888147,135.849632,,81,47,20,112,96
214.7706386,168.522823,154.6388246,155.058646,136.0861316,,59,18,33,107,55
215.2551507,168.6842388,154.8871469,155.7528397,137.1742497,,35,29,17,27,22
215.4351784,169.016299,155.1384035,155.9130295,137.2052282,,9,20,118,82,115
215.7119454,169.158036,155.3104718,156.0303438,138.3466266,,24,49,99,103,97
215.9424736,169.5543779,155.4152097,156.7698248,140.0849142,,72,102,105,58,37
216.0724536,169.5953722,155.5211993,157.5592984,140.2935585,,13,115,100,92,94
216.3405361,169.6955206,156.7316791,157.6346458,140.6624987,,52,21,4,56,111
216.3405687,169.9059423,157.5103093,158.1272249,140.6654672,,114,55,89,85,64
216.5777452,169.9592742,157.792491,159.1322906,142.255942,,103,22,23,13,3
216.9957742,170.9077218,157.9088649,159.1370894,143.5244566,,55,120,87,81,48
217.1119579,171.7140006,159.0173589,159.6444445,143.6966932,,65,46,42,48,40
217.1449035,172.2050105,160.2438386,159.9672052,143.9428562,,79,48,120,29,107
217.3156757,172.3180743,162.3707627,160.5559391,144.9320344,,83,118,61,26,61
217.5896643,172.4392308,162.4555359,160.745108,145.0650961,,87,50,22,59,7
218.3627255,172.539896,163.3825051,162.204146,145.2646998,,6,119,74,61,77
218.3665181,172.5744109,163.40442,162.3605978,145.9580273,,33,64,82,69,2
218.4292576,172.8672235,163.9575582,162.611004,146.9869366,,101,38,49,42,43
218.4722585,173.2593819,164.5664173,163.6456852,147.5274401,,88,113,26,100,95
218.713484,173.4065344,164.7440906,165.5507529,148.3285242,,7,75,97,53,24
218.7591746,173.8777061,164.982512,168.1118531,149.3283034,,118,19,117,63,106
218.9518919,174.8775956,165.9653451,168.1602425,149.5573459,,11,103,51,94,36
219.0984005,175.0961566,166.0321344,169.5024284,154.0949787,,78,104,13,98,42
219.7116135,175.6224304,166.2187257,170.5458942,154.1934818,,1,63,86,73,41
219.9781055,175.7474055,167.8704457,170.5892872,154.4473563,,21,62,8,18,30
220.6308239,175.9159999,168.5018958,170.7427405,155.1557113,,90,77,92,4,104
220.9866276,176.1622024,168.6596754,171.5356104,158.0528434,,53,110,66,52,73
221.0603255,176.4161417,169.5694058,172.1573547,158.3764857,,91,30,25,35,108
221.1297047,176.5444794,169.6110645,173.8445817,160.6732719,,4,5,64,55,92
221.4171813,176.7246926,170.6045506,173.8832267,162.3068292,,75,91,45,15,4
221.6633437,177.6825405,171.4812889,173.957803,163.4859153,,113,52,40,14,15
221.8113373,179.1639906,172.4081806,174.2345712,168.0188198,,62,9,96,77,1
221.8237794,179.2069107,172.5235786,174.6780137,168.0946316,,17,17,31,108,100
221.8457035,179.7615139,175.2532738,174.7520436,169.57773,,67,74,111,106,120
221.9538272,180.3479986,176.5224083,175.8136333,170.716075,,48,109,6,10,69
221.9570173,180.8500739,177.0143055,178.3188877,170.7211163,,32,58,15,37,10
222.1649419,180.9609729,177.407546,178.3870839,171.050131,,3,16,95,34,39
222.799532,180.97894,178.1993099,178.4128604,172.6688739,,110,56,47,20,117
222.9044089,181.3341451,179.0657766,179.7234599,174.643395,,2,95,7,2,44
223.0000717,181.5769005,179.1767547,179.9710352,176.3321921,,85,39,115,60,20
223.0408746,182.3099837,182.7847683,180.94145,176.7485242,,30,3,34,41,49
223.3218164,184.6537062,183.0922083,181.3325417,177.7221952,,112,60,9,116,31
223.82936,186.5423497,184.0342701,182.8613536,181.4269421,,25,98,36,104,34
223.8953761,186.8241033,185.8789325,184.115992,182.7338078,,70,7,73,117,116
224.2315943,187.2435783,186.7024582,185.6022915,184.0541645,,109,101,69,39,8
224.3284693,187.8249555,190.1118238,186.8834918,186.0085403,,54,43,1,24,45
225.7501035,188.6096793,192.9138324,189.8709408,187.0453586,,46,24,30,44,76
227.5915166,191.2681534,196.7968659,190.0317701,187.8412153,,119,96,38,45,12
229.4552684,191.4869759,200.2102577,194.8446024,189.8202715,,29,97,11,47,11
230.2076721,194.0072254,200.7791806,196.377092,201.2136956,,5,2,50,38,47
231.1274188,194.5390838,201.1734125,197.1627028,211.5019524,,14,37,19,8,50
233.4942968,195.2539398,202.721233,197.7036718,212.4310427,,16,13,76,50,38
234.4373242,200.957922,203.2256134,198.3926057,216.7030751,,22,36,12,19,19
236.833498,204.6088038,218.1416494,216.0803332,223.9819423,,43,28,28,28,28
