archetype #,Feature Name,P value (Hypergeom.),Significant after Benjamini-Hochberg correction?,Is first bin maximal?
1,subtype: Y,6.4562e-06,1,1
1,NEW 10 2020: Y,1.8483e-05,1,1
1,10 08 2020: Y,1.8483e-05,1,1
1,source: CCLE,0.015621,1,1
1,subtype: P,0.061816,1,1
1,NEW 10 2020: P,0.061816,1,1
1,10 08 2020: P,0.061816,1,1
1,10 08 2020: A2,0.80436,1,0
1,NEW 10 2020: A2,0.82283,1,0
1,subtype: A2,0.94816,1,0
1,subtype: A,0.99495,1,0
1,source: Minna,0.99739,1,0
1,NEW 10 2020: A,0.99854,1,0
1,10 08 2020: A,0.99969,1,0
1,subtype: N,1,1,0
1,subtype: uncl,1,1,0
1,NEW 10 2020: N,1,1,0
1,10 08 2020: N,1,1,0
1,10 08 2020: uncl,1,1,0
2,NEW 10 2020: N,0.0029966,1,1
2,10 08 2020: N,0.010059,1,1
2,subtype: N,0.017649,1,1
2,subtype: uncl,0.34761,1,0
2,source: CCLE,0.3746,1,0
2,10 08 2020: A,0.52193,1,0
2,subtype: A,0.72691,1,0
2,NEW 10 2020: A,0.78778,1,0
2,source: Minna,0.82302,1,0
2,subtype: A2,0.94816,1,0
2,10 08 2020: A2,0.96049,1,0
2,NEW 10 2020: A2,0.96559,1,0
2,subtype: P,1,1,0
2,subtype: Y,1,1,0
2,NEW 10 2020: P,1,1,0
2,NEW 10 2020: Y,1,1,0
2,10 08 2020: P,1,1,0
2,10 08 2020: Y,1,1,0
2,10 08 2020: uncl,1,1,0
3,10 08 2020: A2,6.1227e-05,1,1
3,NEW 10 2020: A2,8.7671e-05,1,1
3,subtype: A2,0.00035484,1,1
3,source: CCLE,0.3746,1,0
3,source: Minna,0.82302,1,0
3,10 08 2020: N,0.83604,1,0
3,subtype: N,0.87186,1,0
3,NEW 10 2020: N,0.94816,1,0
3,subtype: A,0.96973,1,0
3,NEW 10 2020: A,0.98478,1,0
3,10 08 2020: A,0.99574,1,0
3,subtype: P,1,1,0
3,subtype: Y,1,1,0
3,subtype: uncl,1,1,0
3,NEW 10 2020: P,1,1,0
3,NEW 10 2020: Y,1,1,0
3,10 08 2020: P,1,1,0
3,10 08 2020: Y,1,1,0
3,10 08 2020: uncl,1,1,0
