source,subtype,NEW_10_2020,10_08_2020
CCLE,A2,A2,A2
CCLE,A,N,A
CCLE,A,A,A
CCLE,P,P,P
CCLE,A,A,A
CCLE,A,A2,A2
CCLE,A2,A2,A2
CCLE,Y,Y,Y
CCLE,A2,A2,A2
CCLE,N,N,N
CCLE,A2,A2,A2
CCLE,A2,A2,A2
CCLE,A,A,A
CCLE,A,N,A
CCLE,P,P,P
CCLE,A,A,A
CCLE,A,A,A
CCLE,A,A,A
CCLE,Y,Y,Y
CCLE,uncl,Y,Y
CCLE,A,A,A
CCLE,A,A,A
CCLE,A,A,A
CCLE,N,N,N
CCLE,A,A,A
CCLE,A,A,A
CCLE,A,A,A
CCLE,uncl,Y,Y
CCLE,A,A,A
CCLE,A2,A2,A2
CCLE,A2,A2,A2
CCLE,A,A,A
CCLE,A,A,A
CCLE,P,P,P
CCLE,N,N,N
CCLE,A2,A2,A2
CCLE,N,N,N
CCLE,Y,Y,Y
CCLE,uncl,N,N
CCLE,A2,A2,A2
CCLE,N,N,N
CCLE,P,P,P
CCLE,A,A,A
CCLE,N,N,uncl
CCLE,Y,Y,Y
CCLE,A,A,A
CCLE,Y,Y,Y
CCLE,N,N,A
CCLE,A2,A2,A2
CCLE,Y,Y,Y
Minna,A2,A2,A2
Minna,N,N,N
Minna,A,N,A
Minna,A,A2,A2
Minna,N,N,N
Minna,N,N,A
Minna,A,A,A
Minna,N,N,A
Minna,A,N,A
Minna,N,N,N
Minna,P,P,P
Minna,A,A,A
Minna,A,A,A
Minna,A2,A2,A2
Minna,A,A,A
Minna,Y,A,A
Minna,A,A,A
Minna,A,A,A
Minna,P,P,P
Minna,A,A,A
Minna,A,A,A
Minna,A,A,A
Minna,P,P,P
Minna,A2,A2,A2
Minna,A,A,A
Minna,A2,A2,A2
Minna,N,N,N
Minna,A,A,A
Minna,A,A,A
Minna,A,A,A
Minna,A,A,A
Minna,A,A,A
Minna,A,A,A
Minna,A,A,A
Minna,A,A,A
Minna,A2,A2,A2
Minna,A2,A2,A2
Minna,A,A,A
Minna,A,A,A
Minna,A,A,A
Minna,A,A,A
Minna,P,P,P
Minna,A,A,A
Minna,N,N,N
Minna,A2,A2,A2
Minna,A2,A2,A2
Minna,A2,A2,A2
Minna,N,N,N
Minna,A2,A2,A2
Minna,P,P,P
Minna,A,A,A
Minna,A,A,A
Minna,A,N,N
Minna,uncl,N,N
Minna,A2,A2,A2
Minna,N,N,N
Minna,P,P,P
Minna,N,N,N
Minna,A,A,A
Minna,A,A,A
Minna,A2,A2,A2
Minna,A,A,A
Minna,A,A,A
Minna,A,A2,A
Minna,A2,A2,A2
Minna,N,N,uncl
Minna,Y,Y,Y
Minna,A2,A2,A2
Minna,A,A,A
Minna,A2,A2,A2
