,cell.line,source,branch_col,subtype,Wooten_phen,prior_phen,phenotype,nphenotype
c.COLO668,COLO668,CCLE,red,A2,NEv2,A2,A2,A2
c.CORL24,CORL24,CCLE,darkgreen,N,NEv1,A1,N,N
c.CORL279,CORL279,CCLE,darkgreen,N,NE,A1,N,N
c.CORL311,CORL311,CCLE,black,P,NEv1,P,P,P
c.CORL47,CORL47,CCLE,blue,A,NE,A3,A,A
c.CORL88,CORL88,CCLE,red,A2,NEv2,A2,A2,A2
c.CORL95,CORL95,CCLE,red,A2,NEv2,A2,A2,A2
c.DMS114,DMS114,CCLE,orange,Y,nonNE,Y,Y,Y
c.DMS153,DMS153,CCLE,red,A2,NEv2,A2,A2,A2
c.DMS273,DMS273,CCLE,darkgreen,N,NEv1,N,N,N
c.DMS454,DMS454,CCLE,blue,A,NEv2,A3,A,A
c.DMS53,DMS53,CCLE,red,A2,NEv2,A2,A2,A2
c.DMS79,DMS79,CCLE,red,A2,NE,A3,A2,A2
c.HCC33,HCC33,CCLE,darkgreen,N,NE,A1,N,N
c.NCIH1048,NCIH1048,CCLE,black,P,nonNE,P,P,P
c.NCIH1092,NCIH1092,CCLE,blue,A,NE,A3,A,A
c.NCIH1105,NCIH1105,CCLE,red,A2,NE,A2,A2,A2
c.NCIH1184,NCIH1184,CCLE,blue,A,NE,A3,A,A
c.NCIH1339,NCIH1339,CCLE,orange,Y,nonNE,Y,Y,Y
c.NCIH1341,NCIH1341,CCLE,black,P,nonNE,P,P,P
c.NCIH1436,NCIH1436,CCLE,red,A2,NE,A2,A2,A2
c.NCIH146,NCIH146,CCLE,blue,A,NE,A3,A,A
c.NCIH1618,NCIH1618,CCLE,red,A2,NE,A1,A2,A2
c.NCIH1694,NCIH1694,CCLE,darkgreen,N,NEv1,N,N,N
c.NCIH1836,NCIH1836,CCLE,red,A2,NE,A1,A2,A2
c.NCIH1876,NCIH1876,CCLE,red,A2,NE,A1,A2,A2
c.NCIH1930,NCIH1930,CCLE,blue,A,NE,A3,A,A
c.NCIH196,NCIH196,CCLE,orange,Y,nonNE,Y,Y,Y
c.NCIH1963,NCIH1963,CCLE,blue,A,NE,A3,A,A
c.NCIH2029,NCIH2029,CCLE,red,A2,NEv2,A2,A2,A2
c.NCIH2066,NCIH2066,CCLE,blue,A,nonNE,A3,A,A
c.NCIH2081,NCIH2081,CCLE,blue,A,NE,A3,A,A
c.NCIH209,NCIH209,CCLE,red,A2,NE,A2,A2,A2
c.NCIH211,NCIH211,CCLE,black,P,nonNE,P,P,P
c.NCIH2171,NCIH2171,CCLE,darkgreen,N,NEv1,A1,N,N
c.NCIH2196,NCIH2196,CCLE,red,A2,NEv2,A2,A2,A2
c.NCIH2227,NCIH2227,CCLE,blue,A,NEv1,A3,A,A
c.NCIH2286,NCIH2286,CCLE,orange,Y,nonNE,Y,Y,Y
c.NCIH446,NCIH446,CCLE,darkgreen,N,NEv1,N,N,N
c.NCIH510,NCIH510,CCLE,red,A2,NEv2,A2,A2,A2
